i m 	j ai ans 
you are really very productive today 	vous etes vraiment tres productive aujourd hui 
you are the only one who can help me 	tu es le seul qui puisse m aider 
you are the only one who can help me 	vous etes le seul qui puisse m aider 
you are the only one who can help me 	vous etes la seule qui puisse m aider 
you are the only one who can help me 	tu es la seule qui puisse m aider 
you aren t afraid of ghosts are you 	vous n avez pas peur des fantomes n est ce pas 
you re enjoying yourself aren t you 	vous vous amusez n est ce pas 
you re enjoying yourself aren t you 	tu t amuses pas vrai 
you re in luck the plane is on time 	vous avez de la chance l avion est a l heure 
you re in luck the plane is on time 	tu as de la chance l avion est a l heure 
you re lucky tom lent you some money 	tu es chanceux que tom t ait prete un peu d argent 
you re lucky tom lent you some money 	vous etes chanceux que tom vous ait prete un peu d argent 
you re much prettier than i remember 	vous etes bien plus jolie que dans mon souvenir 
you re much prettier than i remember 	tu es bien plus jolie que dans mon souvenir 
you re not a killer and neither am i 	tu n es pas un tueur et moi non plus 
you re not the first one to say that 	vous n etes pas le seul a le dire 
you re safe as long as you stay here 	tu es en securite aussi longtemps que tu restes ici 
you re the one i ve been waiting for 	tu es celui que j attendais 
you re the one i ve been waiting for 	tu es celle que j attendais 
you re the one who planted that tree 	tu es celui qui a plante cet arbre 
you re the one who planted that tree 	tu es celle qui a plante cet arbre 
you re the one who planted that tree 	vous etes celui qui a plante cet arbre 
you re the one who planted that tree 	vous etes celle qui a plante cet arbre 
you re the one who planted that tree 	c est toi qui as plante cet arbre 
you re the one who planted that tree 	c est vous qui avez plante cet arbre 
you re the same age as my girlfriend 	tu as le meme age que ma copine 
you re wrong that s not what i said 	vous avez tort ce n est pas ce que j ai dit 
you re wrong that s not what i said 	tu as tort ce n est pas ce que j ai dit 
he is a critic rather than a novelist 	il est critique plutot que romancier 
he is a professor of english at leeds 	il est professeur d anglais a leeds 
he is confronted by many difficulties 	il est confronte a de nombreuses difficultes 
he is experienced in valuing antiques 	il est experimente dans l evaluation d antiquites 
he is fatter than when i last saw him 	il est plus gros que la derniere fois que je l ai vu 
he is holding his books under his arm 	il porte ses livres sous son bras 
he is in excellent physical condition 	il est en excellente condition physique 
he is my friend do you guys know him 	c est mon pote vous le connaissez les mecs 
he is planning to launch his business 	il projette de lancer son entreprise 
he is the fastest runner in our class 	il est le coureur le plus rapide de la classe 
he is well read in english literature 	il est cale en litterature anglaise 
he is working in the field of biology 	il travaille dans le domaine de la biologie 
he s a famous popular singer in japan 	il est un celebre chanteur populaire au japon 
he s a leading authority in his field 	c est une pointure dans son domaine 
he s a leading authority in his field 	c est une sommite dans son domaine 
he s a student of japanese literature 	il est etudiant en litterature japonaise 
he s a young impressionable teenager 	c est un jeune adolescent impressionnable 
he s about to finish reading the book 	il est sur le point de terminer la lecture de l ouvrage 
he s been passing off my ideas as his 	il a fait passer mes idees pour les siennes 
he s got an uncle who works in a bank 	il a un oncle qui travaille dans une banque 
he s not allowed to leave the country 	il n est pas autorise a quitter le pays 
he s old enough to be her grandfather 	il est assez vieux pour etre son grand pere 
he s sleeping off last night s bender 	il dort pour se remettre de la beuverie de la nuit derniere 
he s totally dependent on his parents 	il depend totalement de ses parents 
i am free till o clock this evening 	je suis libre jusqu a heures ce soir 
i am glad that you have returned safe 	je suis ravi que vous soyez revenu sain et sauf 
i am glad that you have returned safe 	je suis heureux que tu sois revenu sain et sauf 
i am going to work in osaka next year 	je vais travailler a osaka l annee prochaine 
i am going to write a letter tomorrow 	je vais ecrire une lettre demain 
i am of the opinion that she is right 	selon moi elle a raison 
i am sorry that my friend is not here 	je suis desole que mon ami ne soit pas la 
i am sure of winning the tennis match 	je suis sure de remporter le match de tennis 
i am uncomfortable in these new shoes 	ces nouvelles chaussures sont inconfortables 
i am uncomfortable in these new shoes 	je ne me sens pas a l aise dans ces nouvelles chaussures 
i am used to staying up late at night 	je suis habitue a veiller tard le soir 
i am very interested in these stories 	je suis tres interesse par des histoires 
i am worried about my mother s health 	je me fais du souci pour la sante de ma mere 
i am worried about my mother s health 	je me fais du souci au sujet de la sante de ma mere 
i m afraid i can t save you this time 	je crains de ne pouvoir vous sauver cette fois 
i m afraid i can t save you this time 	je crains de ne pouvoir te sauver cette fois 
i m afraid i have to ask you to leave 	j ai bien peur de devoir vous demander de partir 
i m almost finished reading this book 	j ai presque fini de lire ce livre 
i m ashamed because i acted foolishly 	j ai honte car j ai agi stupidement 
i m beginning to feel a little sleepy 	je commence a avoir un peu sommeil 
i m beginning to feel guilty about it 	je commence a me sentir coupable a ce sujet 
i m developing an android application 	je suis en train de developper une application android 
i m going away for the summer holiday 	je m en vais pour les vacances d ete 
i m going to drop in on her next week 	je prevois de passer par chez elle la semaine prochaine 
i m going to get my own way this time 	je vais faire a ma maniere cette fois ci 
i m going to give you one more chance 	je vais te donner une chance supplementaire 
i m going to give you one more chance 	je vais vous donner une chance supplementaire 
i m going to give you one more chance 	je vais te donner une chance de plus 
i m going to give you one more chance 	je vais vous donner une chance de plus 
i m going to give you one more chance 	je vais te donner une chance additionnelle 
i m going to give you one more chance 	je vais vous donner une chance additionnelle 
i m going to hide somewhere near here 	je vais me cacher quelque part pres d ici 
i m going to hide somewhere near here 	je vais me dissimuler quelque part pres d ici 
i m going to play tennis this evening 	je vais jouer au tennis ce soir 
i m growing tired of all this arguing 	toutes ces disputes commencent a me fatiguer 
i m in pain every minute of every day 	je souffre chaque minute de chaque jour 
i m just looking for a place to sleep 	je cherche seulement un endroit ou dormir 
i m listening to bjork s latest song 	j ecoute la derniere chanson de bjork 
i m more interested in spoken english 	je suis plus interesse par l anglais parle 
i m not as smart as people think i am 	je ne suis pas aussi intelligent que les gens le pensent 
i m not feeling very hungry right now 	je n ai pas tres faim a l instant 
i m not going to do anything about it 	je ne vais rien y faire 
i m not going to study french anymore 	je ne vais plus etudier le francais 
i m not in a position to discuss that 	je ne suis pas en situation de discuter de ca 
i m now officially part of this group 	je fait maintenant officiellement partie de ce groupe 
i m only doing this for your own good 	je ne le fais que pour ton bien 
i m only doing this for your own good 	je ne le fais que pour ton bien a toi 
i m only doing this for your own good 	je ne le fais que pour votre bien 
i m only doing this for your own good 	je ne le fais que pour votre bien a vous 
i m only three years older than he is 	je n ai que trois ans de plus que lui 
i m only three years older than he is 	je ne suis que de trois ans plus vieux que lui 
i m ordering you to leave immediately 	je t ordonne de partir immediatement 
i m ordering you to leave immediately 	je vous ordonne de partir immediatement 
i m so happy i feel like i could fly 	je suis si heureux que je m eleve dans le ciel 
